district,state,health_need_score,need_indicators_available
Akola,Maharastra,34.93,22
Chhota Udaipur,Gujarat,34.91,22
Karur,Tamil Nadu,34.88,18
Rohtas,Bihar,34.85,19
Kabeerdham,Chhattisgarh,34.82,18
Jhabua,Madhya Pradesh,34.8,18
Sidhi,Madhya Pradesh,34.79,22
Mahabubnagar,Telangana,34.77,19
Valsad,Gujarat,34.76,19
Sultanpur,Uttar Pradesh,34.76,19
Banka,Bihar,34.75,22
Rewa,Madhya Pradesh,34.75,22
Thane,Maharastra,34.73,18
Uttara Kannada,Karnataka,34.72,19
Deoghar,Jharkhand,34.7,22
Gadag,Karnataka,34.7,22
Kolkata,West Bengal,34.69,18
Amravati,Maharastra,34.69,22
Garhwa,Jharkhand,34.62,22
Hardoi,Uttar Pradesh,34.62,22
Sawai Madhopur,Rajasthan,34.6,22
Bagalkot,Karnataka,34.58,19
Agra,Uttar Pradesh,34.57,22
Ramanagara,Karnataka,34.56,18
Nawada,Bihar,34.55,19
Navsari,Gujarat,34.52,19
Nalgonda,Telangana,34.49,19
Churu,Rajasthan,34.46,22
Bhandara,Maharastra,34.45,19
Narmada,Gujarat,34.43,18
Chikkaballapura,Karnataka,34.38,18
Ghazipur,Uttar Pradesh,34.38,22
Thiruvarur,Tamil Nadu,34.34,18
Neemuch,Madhya Pradesh,34.34,18
Baudh,Odisha,34.28,19
Kamrup,Assam,34.27,19
Firozabad,Uttar Pradesh,34.26,22
Y.S.R.,Andhra Pradesh,34.25,19
Salem,Tamil Nadu,34.2,18
Raigarh,Maharastra,34.19,19
Purba Medinipur,West Bengal,34.18,19
Tonk,Rajasthan,34.15,22
Chittoor,Andhra Pradesh,34.13,19
Maldah,West Bengal,34.11,19
Dhalai,Tripura,34.08,19
Thiruvallur,Tamil Nadu,34.07,19
Balangir,Odisha,34.07,18
North East,NCT of Delhi,34.07,22
Dhamtari,Chhattisgarh,34.06,18
Bundi,Rajasthan,34.02,22
Dimapur,Nagaland,34.02,19
Thrissur,Kerala,34.0,19
Rajgarh,Madhya Pradesh,33.99,22
Aurangabad,Bihar,33.92,22
Guntur,Andhra Pradesh,33.9,18
Anand,Gujarat,33.86,22
Durg,Chhattisgarh,33.85,18
Pudukkottai,Tamil Nadu,33.85,19
Visakhapatnam,Andhra Pradesh,33.78,19
