company_name,financial_year,psu/non_psu,csr_state,csr_development_sector,csr_sub_development_sector,project_amount_spent_in_inr_cr,project_amount_spent_inr,project_amount_spent_inr_lakh
RATEDI WIND POWER PRIVATE LIMITED,FY 2024-25,Non-PSU,Madhya Pradesh,Education,"Education, Differently Abled, Livelihood",0.0142004,142004.0,1.42004
ANDHRA ORGANICS LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Rural development projects,Rural Development,0.018,180000.0,1.7999999999999998
FLAMINGO TRANSWORLD PRIVATE LIMITED,FY 2024-25,Non-PSU,Gujarat,Senior Citizens Welfare,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.0036,36000.0,0.36
TADAS WIND ENERGY PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.00335,33500.0,0.335
CROWN DECOR PRIVATE LIMITED,FY 2024-25,Non-PSU,Gujarat,Animal welfare,"Environment, Animal Welfare, Conservation Of Resources",0.1,1000000.0,10.0
SHREYAS RENEWABLE ENERGY PRIVATE LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Conservation of natural resources,"Environment, Animal Welfare, Conservation Of Resources",0.001225,12250.0,0.1225
MEREDITH INDIA SERVICES PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03,300000.0,3.0
TAURAL INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Sanitation,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05,500000.0,5.0
KONVERTOR PACKAGING SOLUTIONS PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",0.0025,25000.0,0.25
GRD SECURITIES LIMITED,FY 2024-25,Non-PSU,Rajasthan,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03,300000.0,3.0
OSCAR INFRASTRUCTURE PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0157576,157576.0,1.57576
HP INDIA SALES PRIVATE LIMITED,FY 2024-25,Non-PSU,Goa,Education,"Education, Differently Abled, Livelihood",0.2295,2295000.0,22.95
