"Company Name","Financial Year",PSU/Non-PSU,"CSR State","CSR Development Sector","CSR Sub Development Sector","Project Amount Spent (In INR Cr.)"
"PREMIER FINE LINENS PRIVATE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0024175
"KANTI SWEETS PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Art and culture","Heritage Art And Culture",0.25
"JAI BHARAT GUM AND CHEMICALS LTD","FY 2024-25",Non-PSU,Haryana,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.465
"KITEX CHILDRENSWEAR LIMITED","FY 2024-25",Non-PSU,Kerala,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",1.3215523
"D P JAIN AND CO INFRASTRUCTURE PRIVATE LIMITED","FY 2024-25",Non-PSU,"Madhya Pradesh","Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0453263
"RANGINENI STEEL PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0440246
"VIVA COMPOSITE PANEL PRIVATE LIMITED","FY 2024-25",Non-PSU,Gujarat,"Vocational skills","Education, Differently Abled, Livelihood",0.45
"BHIRINGHEE MINING & MINERALS PRIVATE LIMITED","FY 2024-25",Non-PSU,"West Bengal",Education,"Education, Differently Abled, Livelihood",0.01
"OMEGA PLASTO LIMITED","FY 2024-25",Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.105
"ACQUAINT BEE VENTURES PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Vocational skills","Education, Differently Abled, Livelihood",0.19
"AARUSH (PHASE III) LOGISTICS PARK PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.0011275
"SOUTH-WEST MINING LIMITED","FY 2024-25",Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.147
"ASAHI INDIA GLASS LIMITED","FY 2024-25",Non-PSU,Delhi,"Training to promote sports","Encouraging Sports",0.4
"CYRIX HEALTHCARE PRIVATE LIMITED","FY 2024-25",Non-PSU,Kerala,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05
"MEDICO ELECTRODES INTERNATIONAL LIMITED","FY 2024-25",Non-PSU,"Uttar Pradesh","Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.3
"MHL INFOTECH AND LEASING PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.0025
"GSM COTSPIN PRIVATE LIMITED","FY 2024-25",Non-PSU,Haryana,"Animal welfare","Environment, Animal Welfare, Conservation Of Resources",0.0112
"DRONEACHARYA AERIAL INNOVATIONS LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0088
"MEDROUTE PHARMACEUTICALS PRIVATE LIMITED","FY 2024-25",Non-PSU,Haryana,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.079576
"RT RENEWABLE ENERGY INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",0.08
"SHIVANI ENCLAVES PVT LTD","FY 2024-25",Non-PSU,Rajasthan,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.07
"MATRIX MOON PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
"EUPHORIC INNOVATIONS PRIVATE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0932011
"JSW TECHNO PROJECTS MANAGEMENT LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.0144
"MAS ENTERPRISES LIMITED","FY 2024-25",Non-PSU,Kerala,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.025
